"Algorithm","Hash","Path"
"SHA1","12E285E07980194DDB0C25684DF0117F6A5EB2AD","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\C_EDB.bin"
"SHA1","B7611606D68D64C96D5D4C472A8EBBB49E49A8B8","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\C_EDF.bin"
"SHA1","BD427C468125F26187C7FCA1A32D16B09FC810C7","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\C_GOB.bin"
"SHA1","FD91ECA68425735B08101A12687F8C6B12912B83","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\C_GOF.bin"
"SHA1","7E64BAD15EC851D707A859985D0375AAFB7C5504","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\DK_000.BIN"
"SHA1","5FAF3A8C7A41EB4370E8638986EBDAAFC0856685","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\DK_001.BIN"
"SHA1","4ACD8C2DCA32EB54CAB26016F3E858C086FD136F","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\DK_002.BIN"
"SHA1","65033E319148F07D6468CDB9A46BE9A6EA4172C6","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\DK_003.BIN"
"SHA1","3815ACD8FB4F43B9A9DBBDFFD22899D172052C0C","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\DK_004.BIN"
"SHA1","801AE2523A841E04DBF8D212CC41AC6232D50E7B","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\DK_005.BIN"
"SHA1","A9B5D110F45CC3C09FF007C92D95BC88E7BE3641","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\DK_006.BIN"
"SHA1","6FDC560E785FCA25757FDD27CF4824768D8E259D","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\DK_007.BIN"
"SHA1","D95BDF31C680DF3B8E790DBF63D66B2912A8BC92","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\DK_008.BIN"
