#TYPE Microsoft.Powershell.Utility.FileHash
"Algorithm","Hash","Path"
"SHA1","3B1FAFE6F6F14B2BDA18510441E8C385EDF07341","SLPM-86023-E3-Jun-18-1997-prototype\BIN\ARC_F.BIN"
"SHA1","FACC38F18E3FF5B0B3E73AB1F8C1756A28EA3BEA","SLPM-86023-E3-Jun-18-1997-prototype\BIN\DEMOKEY.BIN"
"SHA1","398F4E4195961CCCF4C218F64343CF368EBD66E3","SLPM-86023-E3-Jun-18-1997-prototype\BIN\F_END.BIN"
"SHA1","A13C240F68E46A4252A484044E17309863EB7377","SLPM-86023-E3-Jun-18-1997-prototype\BIN\F_GAME.BIN"
"SHA1","A84C120DDB4249D6552475BC73C0D0501D195193","SLPM-86023-E3-Jun-18-1997-prototype\BIN\F_GAME2.BIN"
"SHA1","B312D41A1661F1BE6F82299A5B164520603E0559","SLPM-86023-E3-Jun-18-1997-prototype\BIN\F_GO.BIN"
"SHA1","2F189F975FE66730FD59D6D0752CB5E045F5C963","SLPM-86023-E3-Jun-18-1997-prototype\BIN\F_PROLO0.BIN"
"SHA1","C8490E80A2B9FAB586E6C56A5679019BE605092F","SLPM-86023-E3-Jun-18-1997-prototype\BIN\F_PROLO1.BIN"
"SHA1","024299BD7C67414BEAD7412A7EBE3E23B15B169D","SLPM-86023-E3-Jun-18-1997-prototype\BIN\F_TITLE0.BIN"
"SHA1","8B8D838C7300AA9881394680AD194D9E08614608","SLPM-86023-E3-Jun-18-1997-prototype\BIN\F_TITLE1.BIN"
"SHA1","A230746992358D09495F4872B4D4C20CF1B8C9D5","SLPM-86023-E3-Jun-18-1997-prototype\BIN\MONSTER.BIN"
"SHA1","D076912661E67A38AFAE0A1B5044AB5F10BCFB39","SLPM-86023-E3-Jun-18-1997-prototype\BIN\RIC.BIN"
"SHA1","1675EAA8CA3BF2AB29CE5C2187902D76D731E0D0","SLPM-86023-E3-Jun-18-1997-prototype\BIN\WEAPON0.BIN"
"SHA1","5BAA867D25AE6F110585876188D2946833C41F70","SLPM-86023-E3-Jun-18-1997-prototype\BIN\WEAPON1.BIN"
"SHA1","D7F73DFA7C1B7E1FBE10A78692807874046C83BA","SLPM-86023-E3-Jun-18-1997-prototype\BOSS\BO0\BO0.BIN"
"SHA1","82032D57A874AE58A39D94D5C469895777738AF6","SLPM-86023-E3-Jun-18-1997-prototype\BOSS\BO0\F_BO0.BIN"
"SHA1","CE2BDE004BEE937234E63EC7516287D38B32C8A4","SLPM-86023-E3-Jun-18-1997-prototype\BOSS\BO0\SD_ZKBO0.VB"
"SHA1","BF169A6C1DE76F9BB489ED4CA2D29DFA79E560FA","SLPM-86023-E3-Jun-18-1997-prototype\BOSS\BO0\SD_ZKBO0.VH"
"SHA1","3606DFF4380A4D745615222FB694B74A8AEC4A55","SLPM-86023-E3-Jun-18-1997-prototype\BOSS\BO1\BO1.BIN"
"SHA1","16CE51C87834404E617FB5D9DD55F062AA72C957","SLPM-86023-E3-Jun-18-1997-prototype\BOSS\BO1\F_BO1.BIN"
"SHA1","A28F01606081CE3F511681DEC0E5C3890A88C311","SLPM-86023-E3-Jun-18-1997-prototype\BOSS\BO1\SD_ZKBO1.VB"
"SHA1","F1439055CB115A31AC7D40414A79CB90E4AD1DD1","SLPM-86023-E3-Jun-18-1997-prototype\BOSS\BO1\SD_ZKBO1.VH"
"SHA1","22DEE1154DF26C486F4C9D93B57FD0F99A416977","SLPM-86023-E3-Jun-18-1997-prototype\BOSS\BO2\BO2.BIN"
"SHA1","B5D9C68AD2765D390BC4FC26D488FB816886A579","SLPM-86023-E3-Jun-18-1997-prototype\BOSS\BO2\F_BO2.BIN"
"SHA1","A607F7759BD0A3BBD7C7090DA093C82B775C7D99","SLPM-86023-E3-Jun-18-1997-prototype\BOSS\BO2\SD_ZKBO2.VB"
"SHA1","6BD134853AED110329F619DC72425E55D97D8560","SLPM-86023-E3-Jun-18-1997-prototype\BOSS\BO2\SD_ZKBO2.VH"
"SHA1","BF59A4DDC7BA70CC5783A7512CDA1FE0629E152C","SLPM-86023-E3-Jun-18-1997-prototype\BOSS\BO3\BO3.BIN"
"SHA1","C431358A44BD7808CF5CD0D8543DDD732250BE95","SLPM-86023-E3-Jun-18-1997-prototype\BOSS\BO3\F_BO3.BIN"
