#TYPE Microsoft.Powershell.Utility.FileHash
"Algorithm","Hash","Path"
"SHA1","3B1FAFE6F6F14B2BDA18510441E8C385EDF07341","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\arc_f.bin"
"SHA1","FF81D12B5C894077319046A7CCA6C259BD995941","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\are.bin"
"SHA1","25C9F9F40F6FEF96979EC05DD2BBC282874CD79D","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\bo0.bin"
"SHA1","ABB4B7A14FA6B9D7DAFE28738C0A5C75F2333C1D","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\bo1.bin"
"SHA1","DD250A912DF317ACAFA4870AB859478B28F07AE2","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\bo2.bin"
"SHA1","C0CB9E6D12050D1A90A614FF2EB006A9E533CA71","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\bo3.bin"
"SHA1","71A9DF992775F9BD662185C8DBCF4AC9605469E6","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\bo4.bin"
"SHA1","346235A5EBF2CB04CE5676AFFC0D1CCF5381B2F7","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\bo5.bin"
"SHA1","59C618C72719AC563606DC335F7C18DD0E7CB0F1","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\bo6.bin"
"SHA1","004D67920FB4E0AB371FC19BFC4B619552F09CC9","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\bo7.bin"
"SHA1","C564CBFAA943FFC1AAC815B6BADEC86FD2D83A38","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\cat.bin"
"SHA1","32698A322586D2FD4249467C99F5102FAFF44F30","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\cen.bin"
"SHA1","BEC5D6C573179D249A3F355E5B0D4BDC015B8154","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\chi.bin"
"SHA1","12E285E07980194DDB0C25684DF0117F6A5EB2AD","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\c_edb.bin"
"SHA1","B7611606D68D64C96D5D4C472A8EBBB49E49A8B8","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\c_edf.bin"
"SHA1","8D4CCFB242D5286DFB538387D63E374709341E25","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\c_gob.bin"
"SHA1","FC16EA675CE32B0D660E78EFA28C6848C3460879","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\C_GOB_EU.BIN"
"SHA1","FD91ECA68425735B08101A12687F8C6B12912B83","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\c_gof.bin"
"SHA1","AC8C95D9851E49D2CA63AE4F50353E92333DF5C4","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\dai.bin"
"SHA1","C1D3C140294C4C93D1E6265D99B1F4B988980B05","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\demokey.bin"
"SHA1","7E64BAD15EC851D707A859985D0375AAFB7C5504","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\dk_000.bin"
"SHA1","5FAF3A8C7A41EB4370E8638986EBDAAFC0856685","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\dk_001.bin"
"SHA1","9D0026ABC785BBD4D8E2E029A9040718FF833B57","ULES-00841\PSP_GAME\USRDIR\res\ps\hdbin\dk_002.bin"
