#TYPE Microsoft.Powershell.Utility.FileHash
"Algorithm","Hash","Path"
"SHA1","57B587E1BF2D09335BDAC6DB18902D43DFE76449","ULES-00841\PSP_GAME\SYSDIR\UPDATE\DATA.BIN"
"SHA1","5FDE1CCE603E6566D20DA811C9C8BCCCB044D4AE","ULES-00841\PSP_GAME\SYSDIR\UPDATE\EBOOT.BIN"
"SHA1","DA39A3EE5E6B4B0D3255BFEF95601890AFD80709","ULES-00841\PSP_GAME\SYSDIR\UPDATE\PARAM.SFO"
"SHA1","1C582002A48329BF59FF3605BC4580877DB806AF","ULES-00841\PSP_GAME\SYSDIR\BOOT.BIN"
"SHA1","6CED5B75E66DFD68E250988683F73E5BBE7F38D0","ULES-00841\PSP_GAME\SYSDIR\EBOOT.BIN"
"SHA1","B00DCFD6ED3971F6DE78408F1E350F5D473F6B32","ULES-00841\PSP_GAME\USRDIR\res\pce\arc\14font_16color.tm2"
"SHA1","E316662B1D3D4BD460857D6432C1EE77D892DB49","ULES-00841\PSP_GAME\USRDIR\res\pce\arc\17font_16color.tm2"
"SHA1","C9E707CE166DB8B5D39C7C57C9D67ADC32774420","ULES-00841\PSP_GAME\USRDIR\res\pce\arc\22font_16color.tm2"
"SHA1","18ED3773BC4BDA452C9D5C82F500665D67EAEDD8","ULES-00841\PSP_GAME\USRDIR\res\pce\arc\22pfont_16color.tm2"
"SHA1","52B8088F55656161B656A77E78367124B9AE5077","ULES-00841\PSP_GAME\USRDIR\res\pce\arc\256font_16color.tm2"
"SHA1","ECC9666BDD78774969432DC09268B6558A8139D4","ULES-00841\PSP_GAME\USRDIR\res\pce\arc\DRACX_02.DAT"
"SHA1","5A230FE08DEBF5D63B253860BCF6035084150D1B","ULES-00841\PSP_GAME\USRDIR\res\pce\arc\vssver.scc"
"SHA1","9D679B7CA87BEB13A3BFF8FF318C98D47BF4C7D1","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\BGM_A_CLE.at3"
"SHA1","4D191AF127BBB6C30DAA9D24BACDFDCF2BDE8F1C","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\BGM_BOSSMAE2.at3"
"SHA1","38E2DF175F2DD5A44FFD69E20E8990315543FE4A","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\BGM_CATCH.at3"
"SHA1","3DBF517FFB80321F7921BFCB5475731D5C6A683C","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\BGM_G_OVER.at3"
"SHA1","559A5B0A9649B1BC55D2CE39856D480244C37742","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\BGM_P_CLE.at3"
"SHA1","5CAFE599C7203496B22BE8D09841D82665FBD39E","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\BGM_YARARE.at3"
"SHA1","0D6DF33EDF231EA30CF6EC39A413145179143EAC","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\BGM_Z_BOSS.at3"
"SHA1","7A05A49B9E77E6B62005348B75219497951F8A8D","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_003.at3"
"SHA1","034ED82D872318E8160B0FE0F80AA79071FE2F69","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_004.at3"
"SHA1","AB4893B803D3973FA6E31C25E28293178306F9B3","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_005.at3"
"SHA1","89B21C8B93E1039551E55CC7194A5D1D195054A9","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_006.at3"
"SHA1","180F880DF97B11D6C5AEE767F684D432E5B6D606","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_007.at3"
"SHA1","0C17D0F02894D4917D22458A3B5F7DBBC72FA1F9","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_008.at3"
"SHA1","9D566BDD18EBFE6A506746D86212D8EEC31F96CE","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_009.at3"
"SHA1","0F65C2CEBB589214345D69055FDD54E0E40E8670","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_010.at3"
"SHA1","84E7E9AA98ADBFB232E1229D5BB8D3E24B1F7FF1","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_011.at3"
"SHA1","E18AF490E8E0A35BA480F3960196C745551C4E4D","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_012.at3"
"SHA1","EE96EA6A66BABC87855A37C62BA18AD7980BA4DA","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_013.at3"
"SHA1","7FF0ACF1A92DED962AA69CE7F81C1BFA43181B0B","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_014.at3"
"SHA1","7328D43D74D1B01528E71B745F8A7703BFA0719B","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_015.at3"
"SHA1","902AC3BF9DF092B321A5E0856FDBF971CB6DD9E7","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_016.at3"
"SHA1","9C16723F7A0DBBFB4D066D65EA42923D64AA6363","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_017.at3"
"SHA1","95D4CBFDCF83B162261CB16A104C085CFEF19D2D","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_018.at3"
"SHA1","15FF8645394F173A1AA378EAE817C4BB805937B9","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_019.at3"
"SHA1","9E408E6EA6EFC70B4BCBFA038790CCB75082BF01","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_020.at3"
"SHA1","3494CB5428575BC9B06AF3C5D5A92C0ECC67D35F","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\CD_021.at3"
"SHA1","4681C11AA8373F041EECD6310D573DE57ECBDD92","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\RESQ_MARIA_E.at3"
"SHA1","8077FBE291D4BD2EE8492AA28E9226278185467E","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\RESQ_M_ANET_E.at3"
"SHA1","52E34F6C897E2C740C950664930A70A7649F86E2","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\RESQ_M_IRIS_E.at3"
"SHA1","5450DC1BF9FBF3BED0C2173F828214FD83035E4E","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\RESQ_M_TERA_E.at3"
"SHA1","94D973CDDA07C8C3F6057A70D12BB43B77231E71","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\RESQ_R_ANET_E.at3"
"SHA1","E9C8116BD1DE33F990D34E026C64A46A4F807DFC","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\RESQ_R_IRIS_E.at3"
"SHA1","2DA206B82A1269739A67A9DDC9EA61A32CB6E1B0","ULES-00841\PSP_GAME\USRDIR\res\pce\eng\bgm\RESQ_R_TERA_E.at3"
