#TYPE Microsoft.Powershell.Utility.FileHash
"Algorithm","Hash","Path"
"SHA1","A1D392F0F0016CCDACD31AB7B5B67A2EB2F20EC0","ULJM-05287\PSP_GAME\SYSDIR\UPDATE\DATA.BIN"
"SHA1","A484D6C97DB3B145E3B83192566FCDE726EACB51","ULJM-05287\PSP_GAME\SYSDIR\UPDATE\EBOOT.BIN"
"SHA1","B029A3E18521BC4D49CA8326D3DA72A7E36B594B","ULJM-05287\PSP_GAME\SYSDIR\UPDATE\PARAM.SFO"
"SHA1","E4B82651ED2FA36DF51189BD3CF12F38F2EAE0FA","ULJM-05287\PSP_GAME\SYSDIR\BOOT.BIN"
"SHA1","A0F1329040CE973E81DF7DDF751F1EBD1BB07FAC","ULJM-05287\PSP_GAME\SYSDIR\EBOOT.BIN"
"SHA1","B00DCFD6ED3971F6DE78408F1E350F5D473F6B32","ULJM-05287\PSP_GAME\USRDIR\res\pce\arc\14font_16color.tm2"
"SHA1","E316662B1D3D4BD460857D6432C1EE77D892DB49","ULJM-05287\PSP_GAME\USRDIR\res\pce\arc\17font_16color.tm2"
"SHA1","C9E707CE166DB8B5D39C7C57C9D67ADC32774420","ULJM-05287\PSP_GAME\USRDIR\res\pce\arc\22font_16color.tm2"
"SHA1","18ED3773BC4BDA452C9D5C82F500665D67EAEDD8","ULJM-05287\PSP_GAME\USRDIR\res\pce\arc\22pfont_16color.tm2"
"SHA1","52B8088F55656161B656A77E78367124B9AE5077","ULJM-05287\PSP_GAME\USRDIR\res\pce\arc\256font_16color.tm2"
"SHA1","ECC9666BDD78774969432DC09268B6558A8139D4","ULJM-05287\PSP_GAME\USRDIR\res\pce\arc\DRACX_02.DAT"
"SHA1","5A230FE08DEBF5D63B253860BCF6035084150D1B","ULJM-05287\PSP_GAME\USRDIR\res\pce\arc\vssver.scc"
"SHA1","9D679B7CA87BEB13A3BFF8FF318C98D47BF4C7D1","ULJM-05287\PSP_GAME\USRDIR\res\pce\eng\bgm\BGM_A_CLE.at3"
