#TYPE Microsoft.Powershell.Utility.FileHash
"Algorithm","Hash","Path"
"SHA1","3B1FAFE6F6F14B2BDA18510441E8C385EDF07341","XBLA-109\DATA\fonts\fonts.zip\ARC_F.BIN"
"SHA1","2CE3684FE5E7FB6C47374538041F522E8DB68CE0","XBLA-109\DATA\fonts\fonts.zip\ARE.BIN"
"SHA1","A6A02B10D91D08E22E26B6CE3D80DF676668A9A6","XBLA-109\DATA\fonts\fonts.zip\BO0.BIN"
"SHA1","78F9E4E6783924961534904347B1E201B6A22AE8","XBLA-109\DATA\fonts\fonts.zip\BO1.BIN"
"SHA1","7E844586284B61AEEE2D2A10A2A656DEF9D7B170","XBLA-109\DATA\fonts\fonts.zip\BO2.BIN"
"SHA1","2E24323F3195EE975C9AA9CDCB9F398E897749C4","XBLA-109\DATA\fonts\fonts.zip\BO3.BIN"
"SHA1","ED9AEA70D27B037A451C38EC83632390B07E6412","XBLA-109\DATA\fonts\fonts.zip\BO4.BIN"
"SHA1","075206F50D1C36FCBA3C525E1B10EB78B7091F43","XBLA-109\DATA\fonts\fonts.zip\BO5.BIN"
"SHA1","9FE4B5D3DBD1ABA560939FA5840CCA7DCD697938","XBLA-109\DATA\fonts\fonts.zip\BO6.BIN"
"SHA1","1FF27C2FF17C6BBCA0491C44B4DEB0E28BED89F5","XBLA-109\DATA\fonts\fonts.zip\BO7.BIN"
"SHA1","F7090DAD8F17EF0A764FE3778888B406E9110BF8","XBLA-109\DATA\fonts\fonts.zip\CAT.BIN"
"SHA1","D16FD13C4BCC5E131491DDDA1969F54EE4CAEDEF","XBLA-109\DATA\fonts\fonts.zip\CEN.BIN"
"SHA1","6AECFBF803586ED7B4786B18DC9B9A6BB10EE4C7","XBLA-109\DATA\fonts\fonts.zip\CHI.BIN"
"SHA1","12E285E07980194DDB0C25684DF0117F6A5EB2AD","XBLA-109\DATA\fonts\fonts.zip\C_EDB.BIN"
"SHA1","B7611606D68D64C96D5D4C472A8EBBB49E49A8B8","XBLA-109\DATA\fonts\fonts.zip\C_EDF.BIN"
"SHA1","BD427C468125F26187C7FCA1A32D16B09FC810C7","XBLA-109\DATA\fonts\fonts.zip\C_GOB.BIN"
"SHA1","FD91ECA68425735B08101A12687F8C6B12912B83","XBLA-109\DATA\fonts\fonts.zip\C_GOF.BIN"
"SHA1","0F355B8BD4D6088CEA4488957C80285A57B7BC83","XBLA-109\DATA\fonts\fonts.zip\DAI.BIN"
"SHA1","E313CD808219A8296ADF6951729099EBAEC83266","XBLA-109\DATA\fonts\fonts.zip\DEMOKEY.BIN"
"SHA1","7E64BAD15EC851D707A859985D0375AAFB7C5504","XBLA-109\DATA\fonts\fonts.zip\DK_000.BIN"
"SHA1","5FAF3A8C7A41EB4370E8638986EBDAAFC0856685","XBLA-109\DATA\fonts\fonts.zip\DK_001.BIN"
"SHA1","4ACD8C2DCA32EB54CAB26016F3E858C086FD136F","XBLA-109\DATA\fonts\fonts.zip\DK_002.BIN"
"SHA1","65033E319148F07D6468CDB9A46BE9A6EA4172C6","XBLA-109\DATA\fonts\fonts.zip\DK_003.BIN"
"SHA1","3815ACD8FB4F43B9A9DBBDFFD22899D172052C0C","XBLA-109\DATA\fonts\fonts.zip\DK_004.BIN"
"SHA1","801AE2523A841E04DBF8D212CC41AC6232D50E7B","XBLA-109\DATA\fonts\fonts.zip\DK_005.BIN"
